	39
actor	1
harrison	3
crusaded	1
minimized	1
infantryharrison	1
captured	2
death	12
preponderantly	1
widest	2
womans	1
thinking	1
rose	4
seems	1
except	4
confirmed	1
formative	1
treatment	1
overthrow	2
actors	1
extensive	1
heavier	1
unfinished	1
momentum	2
ross	1
starving	1
establishments	1
negotiating	2
around	6
spectacular	3
bryan	3
read	3
49th	1
virginia	8
anticommunist	1
gestures	1
vilifying	1
inflation	4
traffic	1
19thcentury	1
brezhnev	2
transcended	1
world	14
railroad	6
accepted	5
lady	3
dare	1
whittier	1
acute	4
braddock	1
macarthur	1
heightened	1
kennedy	4
collective	1
acidly	1
greeting	1
hamiltons	1
clays	3
facing	2
t	1
clay	6
served	22
downward	1
reduced	2
3000	1
22	3
pickled	1
pacific	6
lucy	1
calculated	1
imperialism	1
respect	1
hemorrhage	2
prerogatives	1
1858	3
provided	3
scholarships	1
caribbean	1
mood	1
confirm	2
1850	3
1852	2
1853	1
recorded	1
embittered	1
1856	4
conservative	7
throat	1
critical	1
deficit	4
deteriorated	1
moderate	4
decent	1
jrwas	1
severed	1
unsuccessfully	2
considering	1
football	2
assembly	1
scientific	1
business	10
sixth	1
claudia	1
jennings	3
unusual	1
1933	1
sports	3
jacksons	2
leadership	8
1937	2
visits	1
1935	1
found	2
exciting	1
aide	1
earlier	2
on	38
coldly	1
central	6
hopkins	1
roar	1
of	39
disabilities	1
violence	2
favorite	2
reinforcing	1
thousands	1
chop	1
legs	1
medicare	1
stand	5
pockets	1
act	13
tariffs	2
assassin	1
deranged	1
or	20
road	1
tape	1
detente	1
widowed	1
lands	6
protests	1
maureen	1
feeling	2
aerial	1
quasi	1
garb	1
blessed	1
observatory	1
everyone	1
rising	3
parties	5
auspiciously	1
neil	1
your	2
intervention	3
goodhue	1
log	3
her	7
area	3
reluctance	1
assumed	1
strictly	1
there	15
1735	1
philadelphia	2
desert	1
start	1
unspoken	1
madisons	1
low	2
stars	1
series	1
1951	1
valley	1
forbade	2
rallied	3
porch	1
deepened	2
continents	1
fanatic	1
13000000	1
tranquility	1
acre	1
pleased	1
lane	1
cabinet	7
change	2
statesman	2
brain	1
strenuous	1
intern	1
yorknow	1
happier	1
promote	1
with	36
handsome	1
rush	1
october	3
rescuing	1
monopoly	1
hardly	1
1800	2
archrival	1
nearest	1
1850s	1
polks	2
dispensing	1
grasp	1
irreconcilable	1
crowds	1
ghettos	1
geraldine	1
stock	2
conferred	1
taylor	3
1807	1
complicated	1
exhausted	3
certain	3
atiforcing	1
todd	1
moved	6
sales	1
wartime	2
general	12
imagination	1
as	39
salem	1
ensuing	1
at	37
planets	1
laboratory	1
watched	3
mover	1
hospitals	1
inspections	1
film	1
fill	1
again	8
amendments	1
strikers	1
scandals	2
administered	1
compel	1
redheaded	1
abolish	1
field	1
2001	2
5	3
you	5
sectionalism	3
stalwart	2
offered	3
